family,condition,token_type,n,mean,std,min,p1,p5,p10,median,max,frac_below_0_1,frac_below_0_5,frac_below_0_9,frac_below_0_99
hotpotqa,error_recovery,response,817,0.9834741572968791,0.0729303540877059,0.4001118703716721,0.5897753442819972,0.9418391357688756,0.9878830191472305,1.0,1.0,0.0,0.006119951040391677,0.04528763769889841,0.10771113831089352
hotpotqa,error_recovery,tool_call,1932,0.9940517369973629,0.039620859641298446,0.29620150289263186,0.7915474904075345,0.9967936419440165,0.9999988079097477,1.0,1.0,0.0,0.0010351966873706005,0.020186335403726708,0.04503105590062112
hotpotqa,multi_step,response,2603,0.9822521569637568,0.0777468320307216,0.2088327685153581,0.5681487616697122,0.8952923015865395,0.992928106409443,1.0,1.0,0.0,0.006915097963887821,0.052247406838263545,0.09527468305800998
hotpotqa,multi_step,tool_call,3080,0.9946254036050981,0.040606047611995814,0.3297527644685169,0.7868287241351077,0.9999827151589217,1.0,1.0,1.0,0.0,0.0012987012987012987,0.017207792207792207,0.03051948051948052
hotpotqa,simple,response,2082,0.9839894349600238,0.07280078849148079,0.2554077280616787,0.5811514244945027,0.9060181556249394,0.9996653755523132,1.0,1.0,0.0,0.006243996157540826,0.04899135446685879,0.08213256484149856
hotpotqa,simple,tool_call,2217,0.9944119409743104,0.04480059568580578,0.2770675654605976,0.746349275467169,0.9998974905186837,0.9999986887006074,1.0,1.0,0.0,0.0022552999548940008,0.014884979702300407,0.02886783942264321
mbpp,long_context,response,17768,0.9920260918057905,0.0460495986626241,0.20118312566718366,0.7403719491487405,0.9793197836193857,0.9994555136761294,1.0,1.0,0.0,0.0015758667266996848,0.024538496172895094,0.059376407023863126
mbpp,long_context,tool_call,12041,0.9986682750520284,0.019885203869777504,0.2525999523397987,0.9889784509630256,0.999966384141546,0.9999966621663815,1.0,1.0,0.0,0.0005813470641973258,0.0041524790299808986,0.010381197574952247
mbpp,multi_step,response,23537,0.9885682173096882,0.056021515464201324,0.17424985469564827,0.6836205555173975,0.9433099825871875,0.9985796605151385,1.0,1.0,0.0,0.0026766367846369544,0.03798275056294345,0.07647533670391299
mbpp,multi_step,tool_call,14867,0.9980194767213201,0.02485011253543304,0.19214895084722733,0.9706714981832638,0.9999674571983839,0.9999970197819792,1.0,1.0,0.0,0.0006726306585054147,0.005650097531445483,0.01466334835541804
mbpp,simple,response,22665,0.989663722653286,0.05462648228476536,0.1934897601269117,0.7003746217243124,0.9599854420682413,0.9995016498604014,1.0,1.0,0.0,0.002691374365762188,0.03313478932274432,0.06754908449150673
mbpp,simple,tool_call,17336,0.9985975666836908,0.018597348102217765,0.29476153209432365,0.9836349654097144,0.9999521997489477,0.9999945164131814,1.0,1.0,0.0,0.00017305029995385326,0.0043262574988463314,0.011421319796954314
mocks,error_recovery,response,16,0.9761443198155673,0.08144361064541661,0.663568642295566,0.663568642295566,0.9547404747535101,1.0,1.0,1.0,0.0,0.0,0.0625,0.125
mocks,error_recovery,tool_call,40,0.9996805049155013,0.0013954513388083926,0.9927733961994042,0.9927733961994042,0.9999322943533338,1.0,1.0,1.0,0.0,0.0,0.0,0.0
mocks,multi_step,response,39,0.995568413690498,0.02731737855860651,0.8271727828314205,0.8271727828314205,0.9999996423940232,1.0,1.0,1.0,0.0,0.0,0.02564102564102564,0.02564102564102564
mocks,multi_step,tool_call,102,0.9990095537410713,0.00654825056584415,0.95144578286689,0.9543651546241112,0.9999266922919043,0.9999998807907389,1.0,1.0,0.0,0.0,0.0,0.0196078431372549
mocks,simple,response,19,0.9763769520848542,0.07342673042812453,0.6970620472453499,0.6970620472453499,0.8541585693139054,0.9999414730529761,1.0,1.0,0.0,0.0,0.10526315789473684,0.10526315789473684
mocks,simple,tool_call,19,0.9981684120279005,0.00775956646993636,0.9652473903484855,0.9652473903484855,0.9999524381816233,1.0,1.0,1.0,0.0,0.0,0.0,0.05263157894736842
